head_label,layer_idx,head_idx,count,mean_logit_baseline_wait,mean_logit_ablated_wait,mean_delta_ablated_minus_baseline,mean_abs_delta,max_abs_delta
L24H6,24,6,12,23.416667,25.664062,2.247396,2.247396,2.546875
L0H3,0,3,12,23.416667,22.255208,-1.161458,1.854167,3.25
L26H12,26,12,12,23.416667,22.023438,-1.393229,1.393229,2.296875
L0H2,0,2,12,23.416667,22.53776,-0.878906,1.389323,5.265625
L13H7,13,7,12,23.416667,22.192708,-1.223958,1.223958,2.046875
L25H7,25,7,12,23.416667,22.25651,-1.160156,1.160156,1.34375
L20H14,20,14,12,23.416667,24.28776,0.871094,0.871094,1.234375
L23H1,23,1,12,23.416667,22.584635,-0.832031,0.832031,1.109375
L15H9,15,9,12,23.416667,22.592448,-0.824219,0.824219,1.34375
L26H6,26,6,12,23.416667,24.160156,0.74349,0.782552,1.875
L19H7,19,7,12,23.416667,24.192708,0.776042,0.776042,1.015625
L25H14,25,14,12,23.416667,22.644531,-0.772135,0.772135,1.046875
L12H6,12,6,12,23.416667,22.686198,-0.730469,0.730469,1.625
L17H6,17,6,12,23.416667,24.11849,0.701823,0.701823,1.453125
L0H9,0,9,12,23.416667,24.115885,0.699219,0.699219,1.296875
L27H7,27,7,12,23.416667,22.744792,-0.671875,0.692708,2.484375
L14H12,14,12,12,23.416667,22.768229,-0.648438,0.648438,1.0625
L1H13,1,13,12,23.416667,22.779948,-0.636719,0.636719,1.546875
L11H12,11,12,12,23.416667,22.835938,-0.580729,0.617188,1.203125
L14H1,14,1,12,23.416667,23.96224,0.545573,0.582031,1.09375
L26H7,26,7,12,23.416667,22.834635,-0.582031,0.582031,1.203125
L26H13,26,13,12,23.416667,22.851562,-0.565104,0.565104,0.703125
L18H3,18,3,12,23.416667,22.865885,-0.550781,0.550781,0.96875
L23H5,23,5,12,23.416667,23.96224,0.545573,0.545573,0.75
L12H10,12,10,12,23.416667,23.933594,0.516927,0.516927,0.953125
L26H15,26,15,12,23.416667,22.904948,-0.511719,0.511719,0.796875
L9H6,9,6,12,23.416667,22.904948,-0.511719,0.511719,0.6875
L9H13,9,13,12,23.416667,22.915365,-0.501302,0.509115,0.921875
L12H9,12,9,12,23.416667,22.928385,-0.488281,0.488281,0.90625
L26H4,26,4,12,23.416667,22.93099,-0.485677,0.485677,0.65625
L0H7,0,7,12,23.416667,23.5625,0.145833,0.481771,2.375
L15H8,15,8,12,23.416667,22.936198,-0.480469,0.480469,0.8125
L18H12,18,12,12,23.416667,22.940104,-0.476562,0.476562,0.703125
L14H0,14,0,12,23.416667,22.958333,-0.458333,0.458333,0.796875
L10H8,10,8,12,23.416667,23.861979,0.445312,0.445312,0.59375
L20H3,20,3,12,23.416667,22.983073,-0.433594,0.433594,0.640625
L26H5,26,5,12,23.416667,23.824219,0.407552,0.407552,0.59375
L0H12,0,12,12,23.416667,23.044271,-0.372396,0.40625,0.703125
L13H6,13,6,12,23.416667,23.800781,0.384115,0.404948,1.4375
L16H2,16,2,12,23.416667,23.013021,-0.403646,0.403646,0.5625
L19H15,19,15,12,23.416667,23.014323,-0.402344,0.402344,0.578125
L17H4,17,4,12,23.416667,23.05599,-0.360677,0.39974,0.796875
L25H13,25,13,12,23.416667,23.807292,0.390625,0.390625,0.703125
L25H10,25,10,12,23.416667,23.035156,-0.38151,0.38151,0.53125
L24H3,24,3,12,23.416667,23.050781,-0.365885,0.378906,0.6875
L14H8,14,8,12,23.416667,23.039062,-0.377604,0.377604,0.59375
L16H9,16,9,12,23.416667,23.135417,-0.28125,0.375,0.5625
L19H14,19,14,12,23.416667,23.044271,-0.372396,0.372396,0.578125
L17H13,17,13,12,23.416667,23.776042,0.359375,0.361979,0.65625
L25H3,25,3,12,23.416667,23.057292,-0.359375,0.359375,0.453125
L20H9,20,9,12,23.416667,23.057292,-0.359375,0.359375,0.578125
L10H5,10,5,12,23.416667,23.776042,0.359375,0.359375,0.65625
L20H8,20,8,12,23.416667,23.0625,-0.354167,0.354167,0.484375
L15H3,15,3,12,23.416667,23.735677,0.31901,0.345052,0.609375
L2H11,2,11,12,23.416667,23.730469,0.313802,0.342448,0.515625
L13H13,13,13,12,23.416667,23.139323,-0.277344,0.334635,0.5625
L20H15,20,15,12,23.416667,23.08724,-0.329427,0.334635,0.734375
L20H13,20,13,12,23.416667,23.084635,-0.332031,0.332031,0.703125
L19H6,19,6,12,23.416667,23.122396,-0.294271,0.330729,0.859375
L21H15,21,15,12,23.416667,23.08724,-0.329427,0.329427,0.609375
L1H12,1,12,12,23.416667,23.742188,0.325521,0.325521,0.59375
L4H13,4,13,12,23.416667,23.705729,0.289062,0.325521,0.546875
L18H2,18,2,12,23.416667,23.092448,-0.324219,0.324219,0.546875
L9H12,9,12,12,23.416667,23.425781,0.009115,0.324219,0.609375
L21H10,21,10,12,23.416667,23.09375,-0.322917,0.322917,0.453125
L11H5,11,5,12,23.416667,23.097656,-0.31901,0.31901,0.8125
L16H0,16,0,12,23.416667,23.098958,-0.317708,0.317708,0.546875
L26H2,26,2,12,23.416667,23.734375,0.317708,0.317708,0.421875
L10H10,10,10,12,23.416667,23.730469,0.313802,0.313802,0.46875
L20H12,20,12,12,23.416667,23.105469,-0.311198,0.311198,0.640625
