example_id,head_label,layer_idx,head_idx,logitbaseline_wait_token,logitablated_wait_token,delta_ablated_minus_baseline
four_digit_numbers,L24H6,24,6,23.984375,26.3125,2.328125
four_digit_numbers,L19H7,19,7,23.984375,24.9375,0.953125
four_digit_numbers,L26H6,26,6,23.984375,24.796875,0.8125
four_digit_numbers,L25H13,25,13,23.984375,24.59375,0.609375
four_digit_numbers,L20H14,20,14,23.984375,24.578125,0.59375
four_digit_numbers,L10H8,10,8,23.984375,24.5,0.515625
four_digit_numbers,L26H5,26,5,23.984375,24.46875,0.484375
four_digit_numbers,L0H9,0,9,23.984375,24.453125,0.46875
four_digit_numbers,L17H6,17,6,23.984375,24.40625,0.421875
four_digit_numbers,L14H1,14,1,23.984375,24.390625,0.40625
four_digit_numbers,L11H13,11,13,23.984375,24.375,0.390625
four_digit_numbers,L12H10,12,10,23.984375,24.375,0.390625
four_digit_numbers,L14H9,14,9,23.984375,24.375,0.390625
four_digit_numbers,L17H7,17,7,23.984375,24.375,0.390625
four_digit_numbers,L23H5,23,5,23.984375,24.375,0.390625
four_digit_numbers,L0H4,0,4,23.984375,24.34375,0.359375
four_digit_numbers,L11H11,11,11,23.984375,24.34375,0.359375
four_digit_numbers,L2H1,2,1,23.984375,24.34375,0.359375
four_digit_numbers,L18H7,18,7,23.984375,24.328125,0.34375
four_digit_numbers,L11H10,11,10,23.984375,24.3125,0.328125
four_digit_numbers,L17H10,17,10,23.984375,24.3125,0.328125
four_digit_numbers,L2H11,2,11,23.984375,24.3125,0.328125
four_digit_numbers,L5H0,5,0,23.984375,24.3125,0.328125
four_digit_numbers,L15H3,15,3,23.984375,24.296875,0.3125
four_digit_numbers,L7H1,7,1,23.984375,24.296875,0.3125
four_digit_numbers,L16H8,16,8,23.984375,24.28125,0.296875
four_digit_numbers,L1H12,1,12,23.984375,24.28125,0.296875
four_digit_numbers,L22H7,22,7,23.984375,24.28125,0.296875
four_digit_numbers,L9H9,9,9,23.984375,24.28125,0.296875
four_digit_numbers,L6H8,6,8,23.984375,24.265625,0.28125
four_digit_numbers,L9H10,9,10,23.984375,24.265625,0.28125
four_digit_numbers,L0H2,0,2,23.984375,24.25,0.265625
four_digit_numbers,L13H14,13,14,23.984375,24.25,0.265625
four_digit_numbers,L22H8,22,8,23.984375,24.25,0.265625
four_digit_numbers,L26H2,26,2,23.984375,24.25,0.265625
four_digit_numbers,L27H15,27,15,23.984375,24.25,0.265625
four_digit_numbers,L5H14,5,14,23.984375,24.25,0.265625
four_digit_numbers,L8H0,8,0,23.984375,24.25,0.265625
four_digit_numbers,L8H14,8,14,23.984375,24.25,0.265625
four_digit_numbers,L10H5,10,5,23.984375,24.234375,0.25
four_digit_numbers,L12H14,12,14,23.984375,24.234375,0.25
four_digit_numbers,L14H7,14,7,23.984375,24.21875,0.234375
four_digit_numbers,L16H11,16,11,23.984375,24.21875,0.234375
four_digit_numbers,L17H13,17,13,23.984375,24.21875,0.234375
four_digit_numbers,L7H8,7,8,23.984375,24.21875,0.234375
four_digit_numbers,L8H15,8,15,23.984375,24.21875,0.234375
four_digit_numbers,L0H8,0,8,23.984375,24.203125,0.21875
four_digit_numbers,L12H0,12,0,23.984375,24.203125,0.21875
four_digit_numbers,L18H13,18,13,23.984375,24.203125,0.21875
four_digit_numbers,L4H1,4,1,23.984375,24.203125,0.21875
four_digit_numbers,L4H13,4,13,23.984375,24.203125,0.21875
four_digit_numbers,L6H13,6,13,23.984375,24.203125,0.21875
four_digit_numbers,L8H2,8,2,23.984375,24.203125,0.21875
four_digit_numbers,L12H13,12,13,23.984375,24.1875,0.203125
four_digit_numbers,L13H4,13,4,23.984375,24.1875,0.203125
four_digit_numbers,L18H9,18,9,23.984375,24.1875,0.203125
four_digit_numbers,L1H14,1,14,23.984375,24.1875,0.203125
four_digit_numbers,L2H12,2,12,23.984375,24.1875,0.203125
four_digit_numbers,L7H13,7,13,23.984375,24.1875,0.203125
four_digit_numbers,L0H1,0,1,23.984375,24.171875,0.1875
four_digit_numbers,L11H8,11,8,23.984375,24.171875,0.1875
four_digit_numbers,L12H4,12,4,23.984375,24.171875,0.1875
four_digit_numbers,L1H4,1,4,23.984375,24.171875,0.1875
four_digit_numbers,L16H13,16,13,23.984375,24.15625,0.171875
four_digit_numbers,L21H3,21,3,23.984375,24.15625,0.171875
four_digit_numbers,L24H2,24,2,23.984375,24.15625,0.171875
four_digit_numbers,L26H3,26,3,23.984375,24.15625,0.171875
four_digit_numbers,L4H8,4,8,23.984375,24.15625,0.171875
four_digit_numbers,L7H7,7,7,23.984375,24.15625,0.171875
four_digit_numbers,L9H11,9,11,23.984375,24.15625,0.171875
four_digit_numbers,L9H4,9,4,23.984375,24.15625,0.171875
four_digit_numbers,L0H13,0,13,23.984375,24.140625,0.15625
four_digit_numbers,L11H15,11,15,23.984375,24.140625,0.15625
four_digit_numbers,L13H6,13,6,23.984375,24.140625,0.15625
four_digit_numbers,L14H4,14,4,23.984375,24.140625,0.15625
four_digit_numbers,L23H11,23,11,23.984375,24.140625,0.15625
four_digit_numbers,L23H6,23,6,23.984375,24.140625,0.15625
four_digit_numbers,L3H10,3,10,23.984375,24.140625,0.15625
four_digit_numbers,L3H2,3,2,23.984375,24.140625,0.15625
four_digit_numbers,L6H3,6,3,23.984375,24.140625,0.15625
four_digit_numbers,L13H11,13,11,23.984375,24.125,0.140625
four_digit_numbers,L19H0,19,0,23.984375,24.125,0.140625
four_digit_numbers,L19H13,19,13,23.984375,24.125,0.140625
four_digit_numbers,L24H14,24,14,23.984375,24.125,0.140625
four_digit_numbers,L2H15,2,15,23.984375,24.125,0.140625
four_digit_numbers,L5H10,5,10,23.984375,24.125,0.140625
four_digit_numbers,L5H12,5,12,23.984375,24.125,0.140625
four_digit_numbers,L5H7,5,7,23.984375,24.125,0.140625
four_digit_numbers,L10H15,10,15,23.984375,24.109375,0.125
four_digit_numbers,L14H14,14,14,23.984375,24.109375,0.125
four_digit_numbers,L21H13,21,13,23.984375,24.109375,0.125
four_digit_numbers,L22H12,22,12,23.984375,24.109375,0.125
four_digit_numbers,L22H6,22,6,23.984375,24.109375,0.125
four_digit_numbers,L2H0,2,0,23.984375,24.109375,0.125
four_digit_numbers,L2H13,2,13,23.984375,24.109375,0.125
four_digit_numbers,L4H6,4,6,23.984375,24.109375,0.125
four_digit_numbers,L5H4,5,4,23.984375,24.109375,0.125
four_digit_numbers,L6H10,6,10,23.984375,24.109375,0.125
four_digit_numbers,L9H0,9,0,23.984375,24.109375,0.125
four_digit_numbers,L12H5,12,5,23.984375,24.09375,0.109375
four_digit_numbers,L13H2,13,2,23.984375,24.09375,0.109375
four_digit_numbers,L13H3,13,3,23.984375,24.09375,0.109375
four_digit_numbers,L21H1,21,1,23.984375,24.09375,0.109375
four_digit_numbers,L21H14,21,14,23.984375,24.09375,0.109375
four_digit_numbers,L24H4,24,4,23.984375,24.09375,0.109375
four_digit_numbers,L2H6,2,6,23.984375,24.09375,0.109375
four_digit_numbers,L5H9,5,9,23.984375,24.09375,0.109375
four_digit_numbers,L6H0,6,0,23.984375,24.09375,0.109375
four_digit_numbers,L6H5,6,5,23.984375,24.09375,0.109375
four_digit_numbers,L0H14,0,14,23.984375,24.078125,0.09375
four_digit_numbers,L14H11,14,11,23.984375,24.078125,0.09375
four_digit_numbers,L15H15,15,15,23.984375,24.078125,0.09375
four_digit_numbers,L15H4,15,4,23.984375,24.078125,0.09375
four_digit_numbers,L19H12,19,12,23.984375,24.078125,0.09375
four_digit_numbers,L1H11,1,11,23.984375,24.078125,0.09375
four_digit_numbers,L21H8,21,8,23.984375,24.078125,0.09375
four_digit_numbers,L23H2,23,2,23.984375,24.078125,0.09375
four_digit_numbers,L2H8,2,8,23.984375,24.078125,0.09375
four_digit_numbers,L3H5,3,5,23.984375,24.078125,0.09375
four_digit_numbers,L6H12,6,12,23.984375,24.078125,0.09375
four_digit_numbers,L9H1,9,1,23.984375,24.078125,0.09375
four_digit_numbers,L9H5,9,5,23.984375,24.078125,0.09375
four_digit_numbers,L10H10,10,10,23.984375,24.0625,0.078125
four_digit_numbers,L13H5,13,5,23.984375,24.0625,0.078125
four_digit_numbers,L16H1,16,1,23.984375,24.0625,0.078125
four_digit_numbers,L16H6,16,6,23.984375,24.0625,0.078125
four_digit_numbers,L18H1,18,1,23.984375,24.0625,0.078125
four_digit_numbers,L19H5,19,5,23.984375,24.0625,0.078125
four_digit_numbers,L24H12,24,12,23.984375,24.0625,0.078125
four_digit_numbers,L2H9,2,9,23.984375,24.0625,0.078125
four_digit_numbers,L3H3,3,3,23.984375,24.0625,0.078125
four_digit_numbers,L3H9,3,9,23.984375,24.0625,0.078125
four_digit_numbers,L4H15,4,15,23.984375,24.0625,0.078125
four_digit_numbers,L4H2,4,2,23.984375,24.0625,0.078125
four_digit_numbers,L5H8,5,8,23.984375,24.0625,0.078125
four_digit_numbers,L0H0,0,0,23.984375,24.046875,0.0625
four_digit_numbers,L10H3,10,3,23.984375,24.046875,0.0625
four_digit_numbers,L13H1,13,1,23.984375,24.046875,0.0625
four_digit_numbers,L14H5,14,5,23.984375,24.046875,0.0625
four_digit_numbers,L17H14,17,14,23.984375,24.046875,0.0625
four_digit_numbers,L18H15,18,15,23.984375,24.046875,0.0625
four_digit_numbers,L18H5,18,5,23.984375,24.046875,0.0625
four_digit_numbers,L19H11,19,11,23.984375,24.046875,0.0625
four_digit_numbers,L19H3,19,3,23.984375,24.046875,0.0625
four_digit_numbers,L22H5,22,5,23.984375,24.046875,0.0625
four_digit_numbers,L27H12,27,12,23.984375,24.046875,0.0625
four_digit_numbers,L2H3,2,3,23.984375,24.046875,0.0625
four_digit_numbers,L3H0,3,0,23.984375,24.046875,0.0625
four_digit_numbers,L6H1,6,1,23.984375,24.046875,0.0625
four_digit_numbers,L7H3,7,3,23.984375,24.046875,0.0625
four_digit_numbers,L7H5,7,5,23.984375,24.046875,0.0625
four_digit_numbers,L12H12,12,12,23.984375,24.03125,0.046875
four_digit_numbers,L1H1,1,1,23.984375,24.03125,0.046875
four_digit_numbers,L1H3,1,3,23.984375,24.03125,0.046875
four_digit_numbers,L1H7,1,7,23.984375,24.03125,0.046875
four_digit_numbers,L21H7,21,7,23.984375,24.03125,0.046875
four_digit_numbers,L21H9,21,9,23.984375,24.03125,0.046875
four_digit_numbers,L22H4,22,4,23.984375,24.03125,0.046875
four_digit_numbers,L23H10,23,10,23.984375,24.03125,0.046875
four_digit_numbers,L24H11,24,11,23.984375,24.03125,0.046875
four_digit_numbers,L24H8,24,8,23.984375,24.03125,0.046875
four_digit_numbers,L5H1,5,1,23.984375,24.03125,0.046875
four_digit_numbers,L8H3,8,3,23.984375,24.03125,0.046875
four_digit_numbers,L10H0,10,0,23.984375,24.015625,0.03125
four_digit_numbers,L11H14,11,14,23.984375,24.015625,0.03125
four_digit_numbers,L15H1,15,1,23.984375,24.015625,0.03125
four_digit_numbers,L15H5,15,5,23.984375,24.015625,0.03125
four_digit_numbers,L17H3,17,3,23.984375,24.015625,0.03125
four_digit_numbers,L20H11,20,11,23.984375,24.015625,0.03125
four_digit_numbers,L23H0,23,0,23.984375,24.015625,0.03125
four_digit_numbers,L24H10,24,10,23.984375,24.015625,0.03125
four_digit_numbers,L27H5,27,5,23.984375,24.015625,0.03125
four_digit_numbers,L27H6,27,6,23.984375,24.015625,0.03125
four_digit_numbers,L2H10,2,10,23.984375,24.015625,0.03125
four_digit_numbers,L4H5,4,5,23.984375,24.015625,0.03125
four_digit_numbers,L4H9,4,9,23.984375,24.015625,0.03125
four_digit_numbers,L5H13,5,13,23.984375,24.015625,0.03125
four_digit_numbers,L8H12,8,12,23.984375,24.015625,0.03125
four_digit_numbers,L10H13,10,13,23.984375,24.0,0.015625
four_digit_numbers,L12H11,12,11,23.984375,24.0,0.015625
four_digit_numbers,L15H0,15,0,23.984375,24.0,0.015625
four_digit_numbers,L15H10,15,10,23.984375,24.0,0.015625
four_digit_numbers,L16H5,16,5,23.984375,24.0,0.015625
four_digit_numbers,L19H8,19,8,23.984375,24.0,0.015625
four_digit_numbers,L1H15,1,15,23.984375,24.0,0.015625
four_digit_numbers,L20H4,20,4,23.984375,24.0,0.015625
four_digit_numbers,L21H6,21,6,23.984375,24.0,0.015625
four_digit_numbers,L22H11,22,11,23.984375,24.0,0.015625
four_digit_numbers,L3H11,3,11,23.984375,24.0,0.015625
four_digit_numbers,L3H12,3,12,23.984375,24.0,0.015625
four_digit_numbers,L3H15,3,15,23.984375,24.0,0.015625
four_digit_numbers,L4H11,4,11,23.984375,24.0,0.015625
four_digit_numbers,L4H14,4,14,23.984375,24.0,0.015625
four_digit_numbers,L5H15,5,15,23.984375,24.0,0.015625
four_digit_numbers,L6H11,6,11,23.984375,24.0,0.015625
four_digit_numbers,L6H2,6,2,23.984375,24.0,0.015625
four_digit_numbers,L6H4,6,4,23.984375,24.0,0.015625
four_digit_numbers,L6H6,6,6,23.984375,24.0,0.015625
four_digit_numbers,L7H10,7,10,23.984375,24.0,0.015625
four_digit_numbers,L7H9,7,9,23.984375,24.0,0.015625
four_digit_numbers,L8H5,8,5,23.984375,24.0,0.015625
four_digit_numbers,L10H14,10,14,23.984375,23.984375,0.0
four_digit_numbers,L12H3,12,3,23.984375,23.984375,0.0
four_digit_numbers,L14H13,14,13,23.984375,23.984375,0.0
four_digit_numbers,L14H6,14,6,23.984375,23.984375,0.0
four_digit_numbers,L1H2,1,2,23.984375,23.984375,0.0
four_digit_numbers,L21H5,21,5,23.984375,23.984375,0.0
four_digit_numbers,L25H6,25,6,23.984375,23.984375,0.0
four_digit_numbers,L2H4,2,4,23.984375,23.984375,0.0
four_digit_numbers,L3H7,3,7,23.984375,23.984375,0.0
four_digit_numbers,L7H2,7,2,23.984375,23.984375,0.0
four_digit_numbers,L8H1,8,1,23.984375,23.984375,0.0
four_digit_numbers,L8H6,8,6,23.984375,23.984375,0.0
four_digit_numbers,L8H7,8,7,23.984375,23.984375,0.0
four_digit_numbers,L12H15,12,15,23.984375,23.96875,-0.015625
four_digit_numbers,L12H7,12,7,23.984375,23.96875,-0.015625
