example_id,head_label,layer_idx,head_idx,logitbaseline_wait_token,logitablated_wait_token,delta_ablated_minus_baseline
minimum_value_inequality,L24H6,24,6,23.71875,26.265625,2.546875
minimum_value_inequality,L0H9,0,9,23.71875,25.015625,1.296875
minimum_value_inequality,L14H1,14,1,23.71875,24.78125,1.0625
minimum_value_inequality,L17H6,17,6,23.71875,24.609375,0.890625
minimum_value_inequality,L20H14,20,14,23.71875,24.578125,0.859375
minimum_value_inequality,L19H7,19,7,23.71875,24.484375,0.765625
minimum_value_inequality,L10H5,10,5,23.71875,24.265625,0.546875
minimum_value_inequality,L4H13,4,13,23.71875,24.25,0.53125
minimum_value_inequality,L13H4,13,4,23.71875,24.234375,0.515625
minimum_value_inequality,L26H5,26,5,23.71875,24.234375,0.515625
minimum_value_inequality,L10H0,10,0,23.71875,24.21875,0.5
minimum_value_inequality,L12H10,12,10,23.71875,24.21875,0.5
minimum_value_inequality,L0H1,0,1,23.71875,24.203125,0.484375
minimum_value_inequality,L1H12,1,12,23.71875,24.203125,0.484375
minimum_value_inequality,L8H2,8,2,23.71875,24.203125,0.484375
minimum_value_inequality,L10H10,10,10,23.71875,24.171875,0.453125
minimum_value_inequality,L10H15,10,15,23.71875,24.15625,0.4375
minimum_value_inequality,L13H11,13,11,23.71875,24.125,0.40625
minimum_value_inequality,L23H5,23,5,23.71875,24.125,0.40625
minimum_value_inequality,L9H12,9,12,23.71875,24.125,0.40625
minimum_value_inequality,L2H11,2,11,23.71875,24.109375,0.390625
minimum_value_inequality,L9H11,9,11,23.71875,24.109375,0.390625
minimum_value_inequality,L15H3,15,3,23.71875,24.078125,0.359375
minimum_value_inequality,L16H13,16,13,23.71875,24.078125,0.359375
minimum_value_inequality,L16H5,16,5,23.71875,24.078125,0.359375
minimum_value_inequality,L9H10,9,10,23.71875,24.078125,0.359375
minimum_value_inequality,L22H4,22,4,23.71875,24.0625,0.34375
minimum_value_inequality,L8H15,8,15,23.71875,24.0625,0.34375
minimum_value_inequality,L21H2,21,2,23.71875,24.046875,0.328125
minimum_value_inequality,L26H2,26,2,23.71875,24.046875,0.328125
minimum_value_inequality,L6H8,6,8,23.71875,24.046875,0.328125
minimum_value_inequality,L1H15,1,15,23.71875,24.03125,0.3125
minimum_value_inequality,L2H1,2,1,23.71875,24.03125,0.3125
minimum_value_inequality,L6H10,6,10,23.71875,24.03125,0.3125
minimum_value_inequality,L22H8,22,8,23.71875,24.015625,0.296875
minimum_value_inequality,L5H4,5,4,23.71875,24.015625,0.296875
minimum_value_inequality,L10H8,10,8,23.71875,24.0,0.28125
minimum_value_inequality,L11H15,11,15,23.71875,24.0,0.28125
minimum_value_inequality,L24H2,24,2,23.71875,24.0,0.28125
minimum_value_inequality,L24H4,24,4,23.71875,24.0,0.28125
minimum_value_inequality,L2H13,2,13,23.71875,24.0,0.28125
minimum_value_inequality,L0H5,0,5,23.71875,23.984375,0.265625
minimum_value_inequality,L11H11,11,11,23.71875,23.984375,0.265625
minimum_value_inequality,L25H6,25,6,23.71875,23.984375,0.265625
minimum_value_inequality,L0H13,0,13,23.71875,23.96875,0.25
minimum_value_inequality,L13H3,13,3,23.71875,23.96875,0.25
minimum_value_inequality,L7H1,7,1,23.71875,23.96875,0.25
minimum_value_inequality,L7H4,7,4,23.71875,23.96875,0.25
minimum_value_inequality,L11H14,11,14,23.71875,23.953125,0.234375
minimum_value_inequality,L19H12,19,12,23.71875,23.9375,0.21875
minimum_value_inequality,L19H13,19,13,23.71875,23.9375,0.21875
minimum_value_inequality,L23H11,23,11,23.71875,23.9375,0.21875
minimum_value_inequality,L26H3,26,3,23.71875,23.9375,0.21875
minimum_value_inequality,L7H10,7,10,23.71875,23.9375,0.21875
minimum_value_inequality,L8H3,8,3,23.71875,23.9375,0.21875
