example_id,head_label,layer_idx,head_idx,logitbaseline_wait_token,logitablated_wait_token,delta_ablated_minus_baseline
three_digit_numbers,L24H6,24,6,24.28125,26.28125,2.0
three_digit_numbers,L20H14,20,14,24.28125,25.296875,1.015625
three_digit_numbers,L12H10,12,10,24.28125,25.046875,0.765625
three_digit_numbers,L19H7,19,7,24.28125,24.796875,0.515625
three_digit_numbers,L2H11,2,11,24.28125,24.78125,0.5
three_digit_numbers,L24H2,24,2,24.28125,24.765625,0.484375
three_digit_numbers,L17H6,17,6,24.28125,24.75,0.46875
three_digit_numbers,L26H2,26,2,24.28125,24.703125,0.421875
three_digit_numbers,L10H8,10,8,24.28125,24.6875,0.40625
three_digit_numbers,L17H13,17,13,24.28125,24.6875,0.40625
three_digit_numbers,L23H5,23,5,24.28125,24.6875,0.40625
three_digit_numbers,L10H5,10,5,24.28125,24.671875,0.390625
three_digit_numbers,L11H11,11,11,24.28125,24.65625,0.375
three_digit_numbers,L25H13,25,13,24.28125,24.640625,0.359375
three_digit_numbers,L21H3,21,3,24.28125,24.609375,0.328125
three_digit_numbers,L0H9,0,9,24.28125,24.59375,0.3125
three_digit_numbers,L11H10,11,10,24.28125,24.59375,0.3125
three_digit_numbers,L14H1,14,1,24.28125,24.59375,0.3125
three_digit_numbers,L18H7,18,7,24.28125,24.59375,0.3125
three_digit_numbers,L26H6,26,6,24.28125,24.59375,0.3125
three_digit_numbers,L6H13,6,13,24.28125,24.59375,0.3125
three_digit_numbers,L7H8,7,8,24.28125,24.59375,0.3125
three_digit_numbers,L11H13,11,13,24.28125,24.578125,0.296875
three_digit_numbers,L27H15,27,15,24.28125,24.5625,0.28125
three_digit_numbers,L5H1,5,1,24.28125,24.5625,0.28125
three_digit_numbers,L7H1,7,1,24.28125,24.5625,0.28125
three_digit_numbers,L9H0,9,0,24.28125,24.5625,0.28125
three_digit_numbers,L9H11,9,11,24.28125,24.5625,0.28125
three_digit_numbers,L22H12,22,12,24.28125,24.546875,0.265625
three_digit_numbers,L1H12,1,12,24.28125,24.53125,0.25
three_digit_numbers,L4H1,4,1,24.28125,24.53125,0.25
three_digit_numbers,L5H4,5,4,24.28125,24.53125,0.25
three_digit_numbers,L0H10,0,10,24.28125,24.515625,0.234375
three_digit_numbers,L10H15,10,15,24.28125,24.515625,0.234375
three_digit_numbers,L21H14,21,14,24.28125,24.515625,0.234375
three_digit_numbers,L23H11,23,11,24.28125,24.515625,0.234375
three_digit_numbers,L26H5,26,5,24.28125,24.515625,0.234375
three_digit_numbers,L8H0,8,0,24.28125,24.515625,0.234375
three_digit_numbers,L8H2,8,2,24.28125,24.515625,0.234375
three_digit_numbers,L15H4,15,4,24.28125,24.484375,0.203125
three_digit_numbers,L25H6,25,6,24.28125,24.484375,0.203125
three_digit_numbers,L4H13,4,13,24.28125,24.484375,0.203125
three_digit_numbers,L9H10,9,10,24.28125,24.484375,0.203125
three_digit_numbers,L9H9,9,9,24.28125,24.484375,0.203125
three_digit_numbers,L13H14,13,14,24.28125,24.46875,0.1875
three_digit_numbers,L17H14,17,14,24.28125,24.46875,0.1875
three_digit_numbers,L19H3,19,3,24.28125,24.46875,0.1875
three_digit_numbers,L19H5,19,5,24.28125,24.46875,0.1875
three_digit_numbers,L27H12,27,12,24.28125,24.46875,0.1875
three_digit_numbers,L5H13,5,13,24.28125,24.46875,0.1875
three_digit_numbers,L8H15,8,15,24.28125,24.46875,0.1875
three_digit_numbers,L0H8,0,8,24.28125,24.453125,0.171875
three_digit_numbers,L2H1,2,1,24.28125,24.453125,0.171875
three_digit_numbers,L4H8,4,8,24.28125,24.453125,0.171875
three_digit_numbers,L6H8,6,8,24.28125,24.453125,0.171875
three_digit_numbers,L0H1,0,1,24.28125,24.4375,0.15625
three_digit_numbers,L0H4,0,4,24.28125,24.4375,0.15625
three_digit_numbers,L16H6,16,6,24.28125,24.4375,0.15625
three_digit_numbers,L1H14,1,14,24.28125,24.4375,0.15625
three_digit_numbers,L20H10,20,10,24.28125,24.4375,0.15625
three_digit_numbers,L21H13,21,13,24.28125,24.4375,0.15625
three_digit_numbers,L23H6,23,6,24.28125,24.4375,0.15625
three_digit_numbers,L5H7,5,7,24.28125,24.4375,0.15625
three_digit_numbers,L6H3,6,3,24.28125,24.4375,0.15625
three_digit_numbers,L6H4,6,4,24.28125,24.4375,0.15625
three_digit_numbers,L10H10,10,10,24.28125,24.421875,0.140625
three_digit_numbers,L12H13,12,13,24.28125,24.421875,0.140625
three_digit_numbers,L18H5,18,5,24.28125,24.421875,0.140625
three_digit_numbers,L23H10,23,10,24.28125,24.421875,0.140625
three_digit_numbers,L5H0,5,0,24.28125,24.421875,0.140625
three_digit_numbers,L0H14,0,14,24.28125,24.40625,0.125
three_digit_numbers,L12H0,12,0,24.28125,24.40625,0.125
three_digit_numbers,L16H11,16,11,24.28125,24.40625,0.125
three_digit_numbers,L17H3,17,3,24.28125,24.40625,0.125
three_digit_numbers,L19H0,19,0,24.28125,24.40625,0.125
three_digit_numbers,L21H8,21,8,24.28125,24.40625,0.125
three_digit_numbers,L22H4,22,4,24.28125,24.40625,0.125
three_digit_numbers,L24H5,24,5,24.28125,24.40625,0.125
three_digit_numbers,L6H6,6,6,24.28125,24.40625,0.125
three_digit_numbers,L14H11,14,11,24.28125,24.390625,0.109375
