example_id,head_label,layer_idx,head_idx,logitbaseline_wait_token,logitablated_wait_token,delta_ablated_minus_baseline
x_inv_4_case,L24H6,24,6,22.484375,24.9375,2.453125
x_inv_4_case,L13H6,13,6,22.484375,23.921875,1.4375
x_inv_4_case,L20H14,20,14,22.484375,23.640625,1.15625
x_inv_4_case,L17H6,17,6,22.484375,23.484375,1.0
x_inv_4_case,L0H9,0,9,22.484375,23.421875,0.9375
x_inv_4_case,L12H10,12,10,22.484375,23.375,0.890625
x_inv_4_case,L19H7,19,7,22.484375,23.359375,0.875
x_inv_4_case,L22H4,22,4,22.484375,23.265625,0.78125
x_inv_4_case,L9H7,9,7,22.484375,23.109375,0.625
x_inv_4_case,L23H5,23,5,22.484375,23.0625,0.578125
x_inv_4_case,L15H3,15,3,22.484375,23.046875,0.5625
x_inv_4_case,L22H8,22,8,22.484375,23.03125,0.546875
x_inv_4_case,L0H7,0,7,22.484375,23.015625,0.53125
x_inv_4_case,L14H1,14,1,22.484375,23.015625,0.53125
x_inv_4_case,L0H13,0,13,22.484375,22.953125,0.46875
x_inv_4_case,L10H10,10,10,22.484375,22.953125,0.46875
x_inv_4_case,L11H13,11,13,22.484375,22.953125,0.46875
x_inv_4_case,L9H11,9,11,22.484375,22.953125,0.46875
x_inv_4_case,L0H3,0,3,22.484375,22.9375,0.453125
x_inv_4_case,L16H13,16,13,22.484375,22.9375,0.453125
x_inv_4_case,L10H15,10,15,22.484375,22.921875,0.4375
x_inv_4_case,L9H12,9,12,22.484375,22.921875,0.4375
x_inv_4_case,L13H3,13,3,22.484375,22.90625,0.421875
x_inv_4_case,L19H12,19,12,22.484375,22.875,0.390625
x_inv_4_case,L4H13,4,13,22.484375,22.875,0.390625
x_inv_4_case,L26H3,26,3,22.484375,22.859375,0.375
x_inv_4_case,L26H6,26,6,22.484375,22.84375,0.359375
x_inv_4_case,L26H2,26,2,22.484375,22.828125,0.34375
x_inv_4_case,L7H13,7,13,22.484375,22.828125,0.34375
x_inv_4_case,L17H13,17,13,22.484375,22.8125,0.328125
x_inv_4_case,L17H3,17,3,22.484375,22.8125,0.328125
x_inv_4_case,L10H8,10,8,22.484375,22.796875,0.3125
x_inv_4_case,L22H7,22,7,22.484375,22.796875,0.3125
x_inv_4_case,L26H5,26,5,22.484375,22.796875,0.3125
x_inv_4_case,L0H1,0,1,22.484375,22.78125,0.296875
x_inv_4_case,L15H4,15,4,22.484375,22.78125,0.296875
x_inv_4_case,L18H7,18,7,22.484375,22.78125,0.296875
x_inv_4_case,L18H9,18,9,22.484375,22.78125,0.296875
x_inv_4_case,L5H0,5,0,22.484375,22.78125,0.296875
x_inv_4_case,L10H5,10,5,22.484375,22.765625,0.28125
x_inv_4_case,L14H11,14,11,22.484375,22.765625,0.28125
x_inv_4_case,L18H15,18,15,22.484375,22.765625,0.28125
x_inv_4_case,L20H1,20,1,22.484375,22.765625,0.28125
x_inv_4_case,L27H15,27,15,22.484375,22.765625,0.28125
x_inv_4_case,L17H14,17,14,22.484375,22.75,0.265625
x_inv_4_case,L2H11,2,11,22.484375,22.75,0.265625
x_inv_4_case,L4H1,4,1,22.484375,22.75,0.265625
x_inv_4_case,L5H1,5,1,22.484375,22.75,0.265625
x_inv_4_case,L19H13,19,13,22.484375,22.734375,0.25
x_inv_4_case,L8H15,8,15,22.484375,22.734375,0.25
x_inv_4_case,L15H7,15,7,22.484375,22.71875,0.234375
x_inv_4_case,L2H1,2,1,22.484375,22.71875,0.234375
x_inv_4_case,L9H9,9,9,22.484375,22.71875,0.234375
x_inv_4_case,L16H11,16,11,22.484375,22.703125,0.21875
x_inv_4_case,L19H3,19,3,22.484375,22.703125,0.21875
x_inv_4_case,L23H10,23,10,22.484375,22.703125,0.21875
x_inv_4_case,L23H11,23,11,22.484375,22.703125,0.21875
x_inv_4_case,L0H4,0,4,22.484375,22.6875,0.203125
x_inv_4_case,L10H6,10,6,22.484375,22.6875,0.203125
x_inv_4_case,L14H13,14,13,22.484375,22.6875,0.203125
x_inv_4_case,L1H12,1,12,22.484375,22.6875,0.203125
x_inv_4_case,L24H2,24,2,22.484375,22.6875,0.203125
x_inv_4_case,L25H13,25,13,22.484375,22.6875,0.203125
x_inv_4_case,L2H5,2,5,22.484375,22.6875,0.203125
x_inv_4_case,L3H3,3,3,22.484375,22.6875,0.203125
x_inv_4_case,L5H5,5,5,22.484375,22.6875,0.203125
x_inv_4_case,L7H8,7,8,22.484375,22.6875,0.203125
x_inv_4_case,L9H0,9,0,22.484375,22.6875,0.203125
x_inv_4_case,L13H1,13,1,22.484375,22.671875,0.1875
x_inv_4_case,L13H14,13,14,22.484375,22.671875,0.1875
x_inv_4_case,L14H14,14,14,22.484375,22.671875,0.1875
x_inv_4_case,L16H10,16,10,22.484375,22.671875,0.1875
x_inv_4_case,L16H6,16,6,22.484375,22.671875,0.1875
x_inv_4_case,L18H13,18,13,22.484375,22.671875,0.1875
x_inv_4_case,L21H2,21,2,22.484375,22.671875,0.1875
x_inv_4_case,L4H4,4,4,22.484375,22.671875,0.1875
x_inv_4_case,L7H1,7,1,22.484375,22.671875,0.1875
x_inv_4_case,L7H3,7,3,22.484375,22.671875,0.1875
x_inv_4_case,L0H11,0,11,22.484375,22.65625,0.171875
x_inv_4_case,L12H0,12,0,22.484375,22.65625,0.171875
x_inv_4_case,L16H5,16,5,22.484375,22.65625,0.171875
x_inv_4_case,L19H0,19,0,22.484375,22.65625,0.171875
