example_id,head_label,layer_idx,head_idx,logitbaseline_wait_token,logitablated_wait_token,delta_ablated_minus_baseline
gsm8k_0,L0H3,0,3,24.015625,19.171875,-4.84375
gsm8k_1,L0H3,0,3,17.78125,16.625,-1.15625
gsm8k_2,L0H3,0,3,19.171875,11.421875,-7.75
gsm8k_3,L0H3,0,3,18.15625,19.171875,1.015625
gsm8k_4,L0H3,0,3,23.171875,21.984375,-1.1875
gsm8k_5,L0H3,0,3,23.625,18.34375,-5.28125
gsm8k_6,L0H3,0,3,22.484375,20.375,-2.109375
gsm8k_7,L0H3,0,3,24.90625,22.8125,-2.09375
gsm8k_8,L0H3,0,3,25.421875,16.84375,-8.578125
gsm8k_9,L0H3,0,3,23.546875,20.609375,-2.9375
gsm8k_10,L0H3,0,3,22.515625,23.921875,1.40625
gsm8k_11,L0H3,0,3,11.4453125,14.1171875,2.671875
gsm8k_12,L0H3,0,3,22.8125,18.203125,-4.609375
gsm8k_13,L0H3,0,3,23.046875,17.046875,-6.0
gsm8k_14,L0H3,0,3,22.328125,18.4375,-3.890625
gsm8k_15,L0H3,0,3,23.0,20.984375,-2.015625
gsm8k_16,L0H3,0,3,23.21875,23.71875,0.5
gsm8k_17,L0H3,0,3,20.53125,15.2421875,-5.2890625
gsm8k_18,L0H3,0,3,21.125,19.34375,-1.78125
gsm8k_19,L0H3,0,3,23.578125,20.234375,-3.34375
gsm8k_20,L0H3,0,3,24.15625,19.375,-4.78125
gsm8k_21,L0H3,0,3,22.921875,20.796875,-2.125
gsm8k_22,L0H3,0,3,20.203125,22.390625,2.1875
gsm8k_23,L0H3,0,3,19.34375,12.765625,-6.578125
gsm8k_24,L0H3,0,3,22.59375,21.625,-0.96875
gsm8k_25,L0H3,0,3,24.328125,13.7890625,-10.5390625
gsm8k_26,L0H3,0,3,17.1875,18.625,1.4375
gsm8k_27,L0H3,0,3,21.703125,21.296875,-0.40625
gsm8k_28,L0H3,0,3,10.078125,14.4921875,4.4140625
gsm8k_29,L0H3,0,3,25.140625,19.5,-5.640625
gsm8k_30,L0H3,0,3,22.015625,21.296875,-0.71875
gsm8k_31,L0H3,0,3,9.5234375,15.4921875,5.96875
gsm8k_32,L0H3,0,3,19.59375,25.578125,5.984375
gsm8k_33,L0H3,0,3,7.91015625,16.53125,8.62109375
gsm8k_34,L0H3,0,3,22.6875,24.078125,1.390625
gsm8k_35,L0H3,0,3,22.890625,19.703125,-3.1875
gsm8k_36,L0H3,0,3,7.8671875,15.8125,7.9453125
gsm8k_37,L0H3,0,3,26.09375,20.296875,-5.796875
gsm8k_38,L0H3,0,3,22.59375,22.0,-0.59375
gsm8k_39,L0H3,0,3,24.234375,21.8125,-2.421875
gsm8k_40,L0H3,0,3,24.515625,18.078125,-6.4375
gsm8k_41,L0H3,0,3,27.421875,17.96875,-9.453125
gsm8k_42,L0H3,0,3,23.421875,22.421875,-1.0
