example_id,head_label,layer_idx,head_idx,logitbaseline_wait_token,logitablated_wait_token,delta_ablated_minus_baseline
gsm8k_0,L0H22,0,22,27.34375,27.125,-0.21875
gsm8k_72,L0H22,0,22,28.5,27.671875,-0.828125
gsm8k_144,L0H22,0,22,27.5,27.515625,0.015625
gsm8k_216,L0H22,0,22,28.921875,28.34375,-0.578125
gsm8k_288,L0H22,0,22,21.09375,20.203125,-0.890625
gsm8k_360,L0H22,0,22,28.71875,27.84375,-0.875
gsm8k_432,L0H22,0,22,29.453125,29.359375,-0.09375
gsm8k_504,L0H22,0,22,27.8125,27.65625,-0.15625
gsm8k_576,L0H22,0,22,27.34375,27.171875,-0.171875
gsm8k_648,L0H22,0,22,28.515625,27.9375,-0.578125
gsm8k_720,L0H22,0,22,28.1875,27.96875,-0.21875
gsm8k_792,L0H22,0,22,28.234375,27.984375,-0.25
gsm8k_864,L0H22,0,22,23.59375,23.234375,-0.359375
gsm8k_936,L0H22,0,22,27.96875,27.84375,-0.125
gsm8k_1008,L0H22,0,22,27.890625,27.453125,-0.4375
gsm8k_1080,L0H22,0,22,27.859375,27.59375,-0.265625
gsm8k_1152,L0H22,0,22,28.40625,27.984375,-0.421875
gsm8k_1224,L0H22,0,22,28.984375,28.421875,-0.5625
gsm8k_1296,L0H22,0,22,19.515625,19.046875,-0.46875
gsm8k_49,L0H22,0,22,27.53125,27.15625,-0.375
gsm8k_121,L0H22,0,22,28.234375,27.78125,-0.453125
gsm8k_193,L0H22,0,22,28.171875,27.265625,-0.90625
gsm8k_265,L0H22,0,22,26.359375,26.21875,-0.140625
gsm8k_337,L0H22,0,22,29.21875,28.53125,-0.6875
gsm8k_409,L0H22,0,22,23.71875,23.671875,-0.046875
gsm8k_481,L0H22,0,22,26.953125,26.421875,-0.53125
gsm8k_553,L0H22,0,22,21.8125,21.390625,-0.421875
gsm8k_625,L0H22,0,22,27.140625,26.65625,-0.484375
gsm8k_697,L0H22,0,22,28.4375,27.921875,-0.515625
gsm8k_769,L0H22,0,22,27.578125,26.984375,-0.59375
gsm8k_841,L0H22,0,22,11.28125,11.703125,0.421875
gsm8k_913,L0H22,0,22,28.984375,28.734375,-0.25
gsm8k_985,L0H22,0,22,21.625,20.953125,-0.671875
gsm8k_1057,L0H22,0,22,27.859375,27.03125,-0.828125
gsm8k_1129,L0H22,0,22,28.5,28.28125,-0.21875
gsm8k_1201,L0H22,0,22,27.359375,26.265625,-1.09375
gsm8k_1273,L0H22,0,22,29.359375,28.84375,-0.515625
